,subject,value,hemi,region,sex,age,yeo_label
172,36574,0.046423160855226686,left,131,M,16.041,Visual
173,36657,0.043130411268353576,left,131,F,16.255,Visual
174,36352,0.04447497643658833,left,131,M,16.444,Visual
175,35949,0.048039190736836004,left,131,M,16.956,Visual
176,35671,0.043626174638225386,left,131,F,16.992,Visual
177,35545,0.04291834568591313,left,131,F,17.129,Visual
178,35580,0.04667586292820422,left,131,M,17.273,Visual
179,35306,0.04270695717687415,left,131,M,17.614,Visual
180,34839,0.04166041568452137,left,131,F,18.022,Visual
181,35241,0.04290440401370118,left,131,F,18.114,Visual
182,34884,0.042383633701935555,left,131,M,18.311,Visual
183,33825,0.044377285482733814,left,131,M,18.855,Visual
184,33734,0.0455016973432794,left,131,M,19.082,Visual
185,35253,0.04608910412885316,left,131,M,19.154,Visual
186,33278,0.04393182250004317,left,131,F,19.764,Visual
187,33199,0.043040034163400874,left,131,F,19.901,Visual
188,33002,0.041061591059738764,left,131,F,20.339,Visual
189,33882,0.04136845634449413,left,131,F,21.607,Visual
190,32924,0.04283886014836191,left,131,F,22.563,Visual
191,29949,0.04251995495530444,left,131,F,26.428,Visual
192,49134,0.04251827129169014,right,131,F,1.131,Visual
193,49112,0.04617690357795665,right,131,F,1.982,Visual
194,48233,0.043724506880139964,right,131,M,1.988,Visual
195,49050,0.046377819825585545,right,131,F,1.993,Visual
196,49041,0.04500711160694181,right,131,M,1.996,Visual
197,49225,0.047213208914110516,right,131,F,1.999,Visual
198,47979,0.046064010923911936,right,131,M,2.001,Visual
199,49196,0.04687329239130476,right,131,F,2.004,Visual
200,48184,0.044687793225016766,right,131,M,2.007,Visual
201,49078,0.046242977597424836,right,131,M,2.01,Visual
202,42019,0.04298014551464577,right,131,M,3.816,Visual
203,41807,0.04520514760466941,right,131,M,3.904,Visual
204,41716,0.04406296115359755,right,131,M,3.907,Visual
205,41854,0.04423588592021168,right,131,M,3.915,Visual
206,41651,0.04377300953894225,right,131,M,3.948,Visual
207,41547,0.04320323381657676,right,131,M,3.973,Visual
208,41519,0.047428135563131565,right,131,M,3.981,Visual
209,41463,0.04490163789821157,right,131,M,4.074,Visual
210,41458,0.04415815229271835,right,131,M,4.112,Visual
211,40033,0.04470481857653964,right,131,M,5.899,Visual
212,39066,0.046137481601094994,right,131,M,6.877,Visual
213,44444,0.04176013949703132,right,131,F,7.149,Visual
214,37972,0.046684949248901805,right,131,M,8.016,Visual
215,36824,0.044800760511512196,right,131,M,9.775,Visual
216,36464,0.04204321169179711,right,131,M,9.945,Visual
217,36291,0.046411642768652395,right,131,M,10.036,Visual
218,41759,0.043148025407490645,right,131,F,10.259,Visual
219,41645,0.04178104893031333,right,131,F,10.322,Visual
220,41372,0.04264514349533541,right,131,F,10.957,Visual
221,41083,0.041959951192733956,right,131,F,11.154,Visual
222,40706,0.04277237063936729,right,131,F,11.231,Visual
223,34847,0.045992507221678525,right,131,M,12.027,Visual
224,39834,0.04453058167217325,right,131,F,12.255,Visual
225,39599,0.04144518437726234,right,131,F,12.329,Visual
226,34110,0.043598283632871014,right,131,M,12.929,Visual
227,39437,0.04066736093939819,right,131,F,13.005,Visual
228,33111,0.04339281542122052,right,131,M,13.992,Visual
229,32479,0.043479310992015914,right,131,M,14.921,Visual
230,32287,0.04328987077003333,right,131,M,14.984,Visual
231,37169,0.04169921289775091,right,131,F,15.107,Visual
232,37693,0.04395829238315395,right,131,F,15.14,Visual
233,36831,0.04442219526358828,right,131,F,15.775,Visual
234,36374,0.04399574638278131,right,131,F,15.836,Visual
